sample,uvp,location,latitude,uvb,t_avg
1,0.367480325463519,beu,50.49197,9803.548828125,6.651333342
2,0.401836547291093,beu,50.49197,9803.548828125,6.651333342
3,0.462305381043431,beu,50.49197,9803.548828125,6.651333342
4,0.389548693586698,seb,50.51419,9416.89453125,4.955000033
5,0.545095457537854,seb,50.51419,9416.89453125,4.955000033
6,0.522974994656978,seb,50.51419,9416.89453125,4.955000033
7,0.449231391585761,seb,50.51419,9416.89453125,4.955000033
8,0.415508081835651,bre,50.49174,9803.548828125,7.514499935
9,0.37695884277596,bre,50.49174,9803.548828125,7.514499935
10,0.478808980669948,bre,50.49174,9803.548828125,7.514499935
11,0.640042410319845,ker,41.32675,13379.4130859375,7.76466667
12,0.601750547045952,ker,41.32675,13379.4130859375,7.76466667
13,0.650996015936255,ker,41.32675,13379.4130859375,7.76466667
14,0.532411174396528,ker,41.32675,13379.4130859375,7.76466667
15,0.608347876672484,ker,41.32675,13379.4130859375,7.76466667
16,0.504341354502605,ker,41.32675,13379.4130859375,7.76466667
17,0.592411924119241,ril,42.15625,12285.115234375,4.9371666598
18,0.462774957698816,ril,42.15625,12285.115234375,4.9371666598
19,0.50114854517611,ril,42.15625,12285.115234375,4.9371666598
20,0.430651749245249,ril,42.15625,12285.115234375,4.9371666598
21,0.421492103830096,ril,42.15625,12285.115234375,4.9371666598
22,0.514527144345411,ril,42.15625,12285.115234375,4.9371666598
23,0.422355352356929,tor,57.53837,8482.6953125,7.7840909089
24,0.503292894280763,kon,50.40918,9482.3046875,4.8321665817
25,0.61719485409476,kon,50.40918,9482.3046875,4.8321665817
26,0.439607298690996,kon,50.40918,9482.3046875,4.8321665817
27,0.631541825363239,kon,50.40918,9482.3046875,4.8321665817
28,0.606022584692597,kon,50.40918,9482.3046875,4.8321665817
29,0.584278638760185,kon,50.40918,9482.3046875,4.8321665817
30,0.429878048780488,bes,50.18543,9880.0615234375,8.0910000255
31,0.337742752603434,bes,50.18543,9880.0615234375,8.0910000255
32,0.357198748043818,bes,50.18543,9880.0615234375,8.0910000255
33,0.42304625199362,bes,50.18543,9880.0615234375,8.0910000255
34,0.429278123854892,tre,46.614,10765.9375,1.7530000322
35,0.69472315124489,tre,46.614,10765.9375,1.7530000322
36,0.591170065333597,tre,46.614,10765.9375,1.7530000322
37,0.623840258168616,tre,46.614,10765.9375,1.7530000322
38,0.345299145299145,tre,46.614,10765.9375,1.7530000322
39,0.725802558532464,tre,46.614,10765.9375,1.7530000322
40,0.67049576783555,tre,46.614,10765.9375,1.7530000322
41,0.522905759162304,tre,46.614,10765.9375,1.7530000322
42,0.485,hol,60.23336,6621.8217773438,6.8085000167
43,0.429,hol,60.23336,6621.8217773438,6.8085000167
44,0.336,hee,52.65,9041.255859375,9.6129999657
45,0.606,ont,44.35878,11237.33984375,6.3076666743
46,0.471,sur,51.27153,8748.5,10.0109998894
47,0.428,sur,51.27153,8748.5,10.0109998894
48,0.515,sur,51.27153,8748.5,10.0109998894
49,0.342,herr,49.54756,9801.4267578125,10.0048333028
50,0.587,herr,49.54756,9801.4267578125,10.0048333028
51,0.641,herr,49.54756,9801.4267578125,10.0048333028
52,0.483,har,52.47533,8348.5185546875,9.3678333585
53,0.599,osl,59.88146,7791.19921875,5.9403333473
54,0.707349740498912,vlk1,50.31957,9482.3046875,7.1800001065
55,0.374116367591082,vlk1,50.31957,9482.3046875,7.1800001065
56,0.642965587044534,vlk1,50.31957,9482.3046875,7.1800001065
57,0.644919262763008,vlk1,50.31957,9482.3046875,7.1800001065
58,0.632395950506187,vlk1,50.31957,9482.3046875,7.1800001065
59,0.443311235764066,bes,50.18543,9880.0615234375,8.0910000255
60,0.542572283150548,bes,50.18543,9880.0615234375,8.0910000255
61,0.348727057430432,bes,50.18543,9880.0615234375,8.0910000255
62,0.538075780089153,bev,50.18355,9880.0615234375,8.0910000255
63,0.565333333333333,bev,50.18355,9880.0615234375,8.0910000255
64,0.467822206967565,vlk1,50.31957,9482.3046875,7.1800001065
65,0.500508741097031,vlk1,50.31957,9482.3046875,7.1800001065
66,0.291372257344738,vlk1,50.31957,9482.3046875,7.1800001065
67,0.404319248826291,vlk1,50.31957,9482.3046875,7.1800001065
68,0.614217050341513,vlk1,50.31957,9482.3046875,7.1800001065
69,0.634782608695652,vlk1,50.31957,9482.3046875,7.1800001065
70,0.551586395800046,vlk1,50.31957,9482.3046875,7.1800001065
71,0.39880196042839,vlk1,50.31957,9482.3046875,7.1800001065
72,0.454392547548195,dob1,50.23648,9781.51953125,7.4316666524
73,0.426808936312104,dob1,50.23648,9781.51953125,7.4316666524
74,0.366066456283646,dob1,50.23648,9781.51953125,7.4316666524
75,0.420879501385042,dob1,50.23648,9781.51953125,7.4316666524
76,0.368894890839523,dob1,50.23648,9781.51953125,7.4316666524
77,0.405715158924205,dob1,50.23648,9781.51953125,7.4316666524
78,0.434416601409554,dob1,50.23648,9781.51953125,7.4316666524
79,0.386370036609406,dob1,50.23648,9781.51953125,7.4316666524
80,0.432937792161093,dob1,50.23648,9781.51953125,7.4316666524
81,0.444606718130607,dob2,50.23438,9781.51953125,7.4316666524
82,0.442187162308191,dob2,50.23438,9781.51953125,7.4316666524
83,0.434773264560499,dob2,50.23438,9781.51953125,7.4316666524
84,0.425431309904153,dob2,50.23438,9781.51953125,7.4316666524
85,0.604764107308048,lny,50.3679,9706.1591796875,8.6363332129
86,0.567627368659934,lny,50.3679,9706.1591796875,8.6363332129
87,0.476009461057611,lny,50.3679,9706.1591796875,8.6363332129
88,0.433531028497035,lny,50.3679,9706.1591796875,8.6363332129
89,0.69964087495919,lny,50.3679,9706.1591796875,8.6363332129
90,0.581445422205579,lny,50.3679,9706.1591796875,8.6363332129
91,0.498744419642857,lny,50.3679,9706.1591796875,8.6363332129
92,0.432483253026208,lny,50.3679,9706.1591796875,8.6363332129
93,0.5070826306914,lny,50.3679,9706.1591796875,8.6363332129
94,0.634441489361702,lny,50.3679,9706.1591796875,8.6363332129
95,0.362027737924438,lny,50.3679,9706.1591796875,8.6363332129
96,0.476345357776464,lny,50.3679,9706.1591796875,8.6363332129
97,0.547529739577752,lny,50.3679,9706.1591796875,8.6363332129
98,0.369673257904198,lny,50.3679,9706.1591796875,8.6363332129
99,0.633633124045478,lny,50.3679,9706.1591796875,8.6363332129
100,0.346633825944171,pdb,50.04825,9781.51953125,7.1011666531
101,0.458571229633756,pdb,50.04825,9781.51953125,7.1011666531
102,0.392206016408387,pdb,50.04825,9781.51953125,7.1011666531
103,0.396353465243966,pdb,50.04825,9781.51953125,7.1011666531
104,0.596528591204345,pdb,50.04825,9781.51953125,7.1011666531
105,0.436580882352941,pdb,50.04825,9781.51953125,7.1011666531
106,0.535924973528967,pdb,50.04825,9781.51953125,7.1011666531
107,0.296859039836568,pdb,50.04825,9781.51953125,7.1011666531
108,0.402877697841727,pdb,50.04825,9781.51953125,7.1011666531
109,0.332276657060519,pdb,50.04825,9781.51953125,7.1011666531
110,0.337826730231794,pdb,50.04825,9781.51953125,7.1011666531
111,0.45686948721782,pdb,50.04825,9781.51953125,7.1011666531
112,0.441724102458595,pdb,50.04825,9781.51953125,7.1011666531
113,0.709133744110185,srb,49.3462,10012.919921875,7.5959999487
114,0.496328184350469,srb,49.3462,10012.919921875,7.5959999487
115,0.606091242259573,srb,49.3462,10012.919921875,7.5959999487
116,0.500455097087379,srb,49.3462,10012.919921875,7.5959999487
117,0.629684176075929,srb,49.3462,10012.919921875,7.5959999487
118,0.579000675219446,srb,49.3462,10012.919921875,7.5959999487
119,0.477820880418283,srb,49.3462,10012.919921875,7.5959999487
120,0.714230321830167,srb,49.3462,10012.919921875,7.5959999487
121,0.586742620403936,srb,49.3462,10012.919921875,7.5959999487
122,0.718503118503118,srb,49.3462,10012.919921875,7.5959999487
123,0.655912596401028,moc,49.36503,10012.919921875,7.4788332904
124,0.530714635340186,moc,49.36503,10012.919921875,7.4788332904
125,0.656542762163796,moc,49.36503,10012.919921875,7.4788332904
126,0.570797292215118,moc,49.36503,10012.919921875,7.4788332904
127,0.555590501651203,moc,49.36503,10012.919921875,7.4788332904
128,0.700203942895989,moc,49.36503,10012.919921875,7.4788332904
129,0.547128129602356,moc,49.36503,10012.919921875,7.4788332904
130,0.518518518518518,moc,49.36503,10012.919921875,7.4788332904
131,0.495413702733059,moc,49.36503,10012.919921875,7.4788332904
132,0.618796716088715,moc,49.36503,10012.919921875,7.4788332904
133,0.531329479768786,moc,49.36503,10012.919921875,7.4788332904
134,0.613744075829384,moc,49.36503,10012.919921875,7.4788332904
135,0.710856585841355,zhu1,49.1791,9775.12109375,5.2379999657
136,0.51731912277106,zhu1,49.1791,9775.12109375,5.2379999657
137,0.731397074411702,zhu1,49.1791,9775.12109375,5.2379999657
138,0.751746158451407,zhu1,49.1791,9775.12109375,5.2379999657
139,0.442952177733149,zhu1,49.1791,9775.12109375,5.2379999657
140,0.603301521795202,zhu1,49.1791,9775.12109375,5.2379999657
141,0.600226683937824,zhu1,49.1791,9775.12109375,5.2379999657
142,0.619729953155139,zhu1,49.1791,9775.12109375,5.2379999657
143,0.653188929001203,zhu1,49.1791,9775.12109375,5.2379999657
144,0.627127803296406,zhu1,49.1791,9775.12109375,5.2379999657
